Consecutivo;;Cliente;Producto;PesoVenta;Sacos;Precio;Total
1;01/07/2015 07:16:42;592;9;17090;0;6600;112794000
2;01/07/2015 07:17:02;592;9;11750;0;6600;77550000
3;01/07/2015 07:17:49;592;9;16480;0;6600;108768000
4;01/07/2015 12:38:12;3521;1;7798;0;5560;43356880
5;01/07/2015 12:38:49;3521;1;6225;0;5560;34611000
6;03/07/2015 16:32:01;592;9;17830;0;6600;117678000
7;03/07/2015 16:32:19;592;9;16430;0;6600;108438000
8;03/07/2015 16:33:50;592;9;720;0;6600;4752000
9;03/07/2015 16:34:16;592;9;16790;0;6700;112493000
10;03/07/2015 16:34:46;592;9;15670;0;6700;104989000
11;03/07/2015 17:02:20;3521;1;13490;0;5560;75004400
12;03/07/2015 17:12:48;3521;1;12640;0;5560;70278400
13;03/07/2015 17:13:03;3521;1;13810;0;5560;76783600
14;03/07/2015 17:13:56;3521;1;12660;0;5560;70389600
15;03/07/2015 07:25:52;3521;1;13860;0;5560;77061600
16;03/07/2015 07:39:02;3521;1;11689;0;5560;64990840
17;06/07/2015 07:45:20;76;9;30;0;7000;210000
18;06/07/2015 14:44:59;592;9;15640;0;6700;104788000
19;06/07/2015 14:45:16;592;9;17190;0;6700;115173000
20;06/07/2015 08:30:42;3521;1;9479;0;5448;51641592
21;06/07/2015 08:43:47;3521;1;108;0;5448;588384
22;06/07/2015 08:45:08;3521;1;3720;0;5448;20266560
23;06/07/2015 08:45:52;3521;1;12790;0;5448;69679920
24;06/07/2015 08:46:31;3521;1;3150;0;5448;17161200
25;06/07/2015 08:47:28;3521;1;3860;0;5448;21029280
26;06/07/2015 08:48:33;3521;1;9260;0;5448;50448480
27;06/07/2015 08:55:07;3521;1;5559;0;5448;30285432
28;06/07/2015 08:56:52;3521;1;2074;0;5448;11299152
29;07/07/2015 16:40:52;3521;1;12560;0;5440;68326400
30;07/07/2015 16:41:12;3521;1;13580;0;5440;73875200
31;07/07/2015 16:41:50;3521;1;13740;0;5440;74745600
32;07/07/2015 16:42:39;3521;1;10120;0;5440;55052800
33;08/07/2015 15:36:37;667;9;150;0;7000;1050000
34;09/07/2015 12:55:06;592;9;17630;0;6700;118121000
35;09/07/2015 12:55:32;592;9;16070;0;6700;107669000
36;09/07/2015 12:56:23;592;9;1010;0;6700;6767000
37;09/07/2015 12:56:58;592;9;6530;0;6800;44404000
38;10/07/2015 08:33:27;592;9;17030;0;6800;115804000
39;10/07/2015 08:33:44;592;9;16140;0;6800;109752000
40;10/07/2015 08:35:05;592;9;6910;0;6800;46988000
41;10/07/2015 12:30:26;3660;9;12,5;0;7000;87500
42;10/07/2015 07:58:13;592;9;17180;0;6800;116824000
43;10/07/2015 07:58:29;592;9;16220;0;6800;110296000
44;11/07/2015 08:00:32;592;9;16120;0;6800;109616000
45;11/07/2015 08:13:55;76;9;30;0;7000;210000
46;11/07/2015 11:34:48;592;1;17510;0;6800;119068000
47;13/07/2015 17:38:39;3521;1;10743;0;5640;60590520
48;13/07/2015 17:38:55;3521;1;7998;0;5640;45108720
49;13/07/2015 17:39:21;3521;1;1204;0;5640;6790560
50;13/07/2015 17:40:32;3521;1;245;0;5640;1381800
51;13/07/2015 17:42:19;3521;1;2196;0;5640;12385440
52;13/07/2015 17:42:37;3521;1;9951;0;5640;56123640
53;13/07/2015 17:43:22;3521;1;391;0;5640;2205240
54;13/07/2015 17:43:36;3521;1;9146;0;5640;51583440
55;13/07/2015 17:44:10;3521;1;8126;0;5640;45830640
56;13/07/2015 17:48:12;592;9;17330;0;6800;117844000
57;13/07/2015 17:50:29;592;9;15980;0;6800;108664000
58;14/07/2015 09:42:37;3705;7;5;0;8000;40000
59;14/07/2015 15:54:44;592;9;16230;0;6800;110364000
60;14/07/2015 15:57:26;592;9;17730;0;6800;120564000
61;15/07/2015 12:55:00;76;9;30;0;7300;219000
62;16/07/2015 07:06:42;3718;8;2155;0;4200;9051000
63;16/07/2015 07:40:19;3718;8;6397;0;5000;31985000
64;16/07/2015 09:07:35;592;9;17750;0;6800;120700000
65;16/07/2015 16:53:17;592;9;1340;0;6800;9112000
66;16/07/2015 16:54:51;592;9;15440;0;7300;112712000
67;16/07/2015 16:55:04;592;9;16800;0;7300;122640000
68;18/07/2015 10:15:10;592;9;17070;0;7300;124611000
69;18/07/2015 10:15:24;592;9;16090;0;7300;117457000
70;18/07/2015 10:53:52;76;9;30;0;7700;231000
71;18/07/2015 11:36:46;96;1;8040;0;5760;46310400
72;18/07/2015 11:37:09;96;1;6188;0;5760;35642880
73;18/07/2015 11:37:44;96;1;5961;0;5760;34335360
74;18/07/2015 11:38:23;96;1;6169;0;5760;35533440
75;18/07/2015 11:43:36;96;1;6194;0;5760;35677440
76;18/07/2015 11:46:54;96;1;9815;0;5760;56534400
77;18/07/2015 11:47:11;96;1;1938;0;5760;11162880
78;18/07/2015 11:47:28;96;1;2980;0;5760;17164800
79;18/07/2015 11:48:43;96;1;5355;0;5760;30844800
80;18/07/2015 11:49:06;96;1;9751;0;5760;56165760
81;18/07/2015 11:49:43;96;1;10472;0;5760;60318720
82;18/07/2015 11:50:10;96;1;9067;0;5760;52225920
83;18/07/2015 11:50:29;96;1;9820;0;5760;56563200
84;18/07/2015 11:51:29;96;1;2715;0;5760;15638400
85;18/07/2015 11:51:43;96;1;5535;0;5760;31881600
86;21/07/2015 14:05:44;592;9;16400;0;7300;119720000
87;21/07/2015 14:08:57;592;9;17610;0;7300;128553000
88;21/07/2015 16:35:54;3130;9;10;0;7500;75000
89;22/07/2015 14:31:59;667;9;100;0;7500;750000
90;22/07/2015 15:39:16;592;9;1590;0;7300;11607000
91;22/07/2015 15:40:08;592;9;16000;0;7450;119200000
92;22/07/2015 15:44:39;592;9;15940;0;7450;118753000
93;23/07/2015 08:35:36;3785;1;30;0;7300;219000
94;25/07/2015 10:20:38;592;9;16010;0;7450;119274500
95;25/07/2015 10:25:10;592;9;17480;0;7450;130226000
